sample,population
HGDP00511,Homo_sapiens
HGDP00512,Homo_sapiens
HGDP00513,Homo_sapiens
HGDP00514,Homo_sapiens
HGDP00515,Homo_sapiens
HGDP00516,Homo_sapiens
HGDP00517,Homo_sapiens
HGDP00518,Homo_sapiens
HGDP00519,Homo_sapiens
HGDP00520,Homo_sapiens
HGDP00521,Homo_sapiens
HGDP00522,Homo_sapiens
HGDP00523,Homo_sapiens
HGDP00524,Homo_sapiens
HGDP00525,Homo_sapiens
HGDP00526,Homo_sapiens
HGDP00527,Homo_sapiens
HGDP00528,Homo_sapiens
HGDP00529,Homo_sapiens
HGDP00530,Homo_sapiens
HGDP00531,Homo_sapiens
HGDP00533,Homo_sapiens
HGDP00534,Homo_sapiens
HGDP00535,Homo_sapiens
HGDP00536,Homo_sapiens
HGDP00537,Homo_sapiens
HGDP00538,Homo_sapiens
HGDP00539,Homo_sapiens
SAMN01920504,Pan_paniscus
SAMN01920505,Pan_paniscus
SAMN01920506,Pan_paniscus
SAMN01920507,Pan_paniscus
SAMN01920508,Pan_paniscus
SAMN01920509,Pan_paniscus
SAMN01920510,Pan_paniscus
SAMN01920511,Pan_paniscus
SAMN01920512,Pan_paniscus
SAMN01920513,Pan_paniscus
SAMN01920514,Pan_paniscus
SAMN01920515,Pan_paniscus
SAMN01920516,Pan_paniscus
SAMN11123633,Pan_paniscus
SAMN13935689,Pan_paniscus
SAMN35877942,Pan_paniscus
SAMN35877943,Pan_paniscus
SAMN01920517,Pan_troglodytes_ellioti
SAMN01920518,Pan_troglodytes_ellioti
SAMN01920519,Pan_troglodytes_ellioti
SAMN01920520,Pan_troglodytes_ellioti
SAMN01920521,Pan_troglodytes_ellioti
SAMN01920522,Pan_troglodytes_ellioti
SAMN01920523,Pan_troglodytes_ellioti
SAMN01920524,Pan_troglodytes_ellioti
SAMN01920525,Pan_troglodytes_ellioti
SAMN01920526,Pan_troglodytes_ellioti
SAMEA4374787,Pan_troglodytes_schweinfurthii
SAMEA4374788,Pan_troglodytes_schweinfurthii
SAMEA4374789,Pan_troglodytes_schweinfurthii
SAMEA4374790,Pan_troglodytes_schweinfurthii
SAMEA4374792,Pan_troglodytes_schweinfurthii
SAMEA4374793,Pan_troglodytes_schweinfurthii
SAMEA4374794,Pan_troglodytes_schweinfurthii
SAMEA4374795,Pan_troglodytes_schweinfurthii
SAMEA4374796,Pan_troglodytes_schweinfurthii
SAMEA4374797,Pan_troglodytes_schweinfurthii
SAMEA4374798,Pan_troglodytes_schweinfurthii
SAMN01920527,Pan_troglodytes_schweinfurthii
SAMN01920528,Pan_troglodytes_schweinfurthii
SAMN01920529,Pan_troglodytes_schweinfurthii
SAMN01920530,Pan_troglodytes_schweinfurthii
SAMN01920531,Pan_troglodytes_schweinfurthii
SAMN01920532,Pan_troglodytes_schweinfurthii
SAMEA4374770,Pan_troglodytes_troglodytes
SAMEA4374771,Pan_troglodytes_troglodytes
SAMEA4374772,Pan_troglodytes_troglodytes
SAMEA4374773,Pan_troglodytes_troglodytes
SAMEA4374774,Pan_troglodytes_troglodytes
SAMEA4374775,Pan_troglodytes_troglodytes
SAMEA4374776,Pan_troglodytes_troglodytes
SAMEA4374777,Pan_troglodytes_troglodytes
SAMEA4374778,Pan_troglodytes_troglodytes
SAMEA4374779,Pan_troglodytes_troglodytes
SAMEA4374780,Pan_troglodytes_troglodytes
SAMEA4374781,Pan_troglodytes_troglodytes
SAMEA4374782,Pan_troglodytes_troglodytes
SAMEA4374785,Pan_troglodytes_troglodytes
SAMN01920533,Pan_troglodytes_troglodytes
SAMN01920534,Pan_troglodytes_troglodytes
SAMN01920535,Pan_troglodytes_troglodytes
SAMN01920536,Pan_troglodytes_troglodytes
SAMEA1713551,Pan_troglodytes_verus
SAMEA1713552,Pan_troglodytes_verus
SAMEA1713553,Pan_troglodytes_verus
SAMEA1713554,Pan_troglodytes_verus
SAMEA1713556,Pan_troglodytes_verus
SAMEA1713558,Pan_troglodytes_verus
SAMEA2421540,Pan_troglodytes_verus
SAMEA2421541,Pan_troglodytes_verus
SAMEA2421542,Pan_troglodytes_verus
SAMEA2421543,Pan_troglodytes_verus
SAMEA2421544,Pan_troglodytes_verus
SAMEA2421545,Pan_troglodytes_verus
SAMEA2421546,Pan_troglodytes_verus
SAMEA2421547,Pan_troglodytes_verus
SAMEA2421548,Pan_troglodytes_verus
SAMEA4374763,Pan_troglodytes_verus
SAMEA4374764,Pan_troglodytes_verus
SAMEA4374765,Pan_troglodytes_verus
SAMEA4374766,Pan_troglodytes_verus
SAMEA4374767,Pan_troglodytes_verus
SAMEA4374768,Pan_troglodytes_verus
SAMEA4374769,Pan_troglodytes_verus
SAMEA5204226,Pan_troglodytes_verus
SAMEA5204227,Pan_troglodytes_verus
SAMEA5204228,Pan_troglodytes_verus
SAMEA5204229,Pan_troglodytes_verus
SAMN01920537,Pan_troglodytes_verus
SAMN01920538,Pan_troglodytes_verus
SAMN01920539,Pan_troglodytes_verus
SAMN01920540,Pan_troglodytes_verus
SAMN01920541,Pan_troglodytes_verus
SAMN01920517,Pan_troglodytes
SAMN01920518,Pan_troglodytes
SAMN01920519,Pan_troglodytes
SAMN01920520,Pan_troglodytes
SAMN01920521,Pan_troglodytes
SAMN01920522,Pan_troglodytes
SAMN01920523,Pan_troglodytes
SAMN01920524,Pan_troglodytes
SAMN01920525,Pan_troglodytes
SAMN01920526,Pan_troglodytes
SAMEA4374787,Pan_troglodytes
SAMEA4374788,Pan_troglodytes
SAMEA4374789,Pan_troglodytes
SAMEA4374790,Pan_troglodytes
SAMEA4374792,Pan_troglodytes
SAMEA4374793,Pan_troglodytes
SAMEA4374794,Pan_troglodytes
SAMEA4374795,Pan_troglodytes
SAMEA4374796,Pan_troglodytes
SAMEA4374797,Pan_troglodytes
SAMEA4374798,Pan_troglodytes
SAMN01920527,Pan_troglodytes
SAMN01920528,Pan_troglodytes
SAMN01920529,Pan_troglodytes
SAMN01920530,Pan_troglodytes
SAMN01920531,Pan_troglodytes
SAMN01920532,Pan_troglodytes
SAMD00026329,Pan_troglodytes
SAMD00026330,Pan_troglodytes
SAMD00026331,Pan_troglodytes
PD_0257,Pan_troglodytes
PD_0258,Pan_troglodytes
PD_0259,Pan_troglodytes
PD_0427,Pan_troglodytes
SAMEA2058386,Pan_troglodytes
SAMEA2058387,Pan_troglodytes
SAMEA2058388,Pan_troglodytes
SAMEA2058389,Pan_troglodytes
SAMEA2058390,Pan_troglodytes
SAMEA2464840,Pan_troglodytes
SAMEA2464841,Pan_troglodytes
SAMEA2464842,Pan_troglodytes
SAMEA2464843,Pan_troglodytes
SAMEA2464844,Pan_troglodytes
SAMEA2464845,Pan_troglodytes
SAMEA2464846,Pan_troglodytes
SAMEA2464847,Pan_troglodytes
SAMEA4374799,Pan_troglodytes
SAMN12714418,Pan_troglodytes
SAMN12714419,Pan_troglodytes
SAMN15033210,Pan_troglodytes
SAMN15033211,Pan_troglodytes
SAMN15033212,Pan_troglodytes
SAMN15033213,Pan_troglodytes
SAMN15033214,Pan_troglodytes
SAMN15033215,Pan_troglodytes
SAMN15033216,Pan_troglodytes
SAMN15033217,Pan_troglodytes
SAMN15033218,Pan_troglodytes
SAMN15033219,Pan_troglodytes
SAMN15033220,Pan_troglodytes
SAMN15033221,Pan_troglodytes
SAMN15033222,Pan_troglodytes
SAMN15033223,Pan_troglodytes
SAMN15033224,Pan_troglodytes
SAMN15033225,Pan_troglodytes
SAMN15033226,Pan_troglodytes
SAMN15033227,Pan_troglodytes
SAMN15033228,Pan_troglodytes
SAMN15033229,Pan_troglodytes
SAMN15033230,Pan_troglodytes
SAMN15033231,Pan_troglodytes
SAMN15033232,Pan_troglodytes
SAMN15033233,Pan_troglodytes
SAMN15033234,Pan_troglodytes
SAMN15033235,Pan_troglodytes
SAMN15033236,Pan_troglodytes
SAMN15033237,Pan_troglodytes
SAMN15033238,Pan_troglodytes
SAMN15033239,Pan_troglodytes
SAMN15033240,Pan_troglodytes
SAMN15033241,Pan_troglodytes
SAMN15033242,Pan_troglodytes
SAMN15033243,Pan_troglodytes
SAMN15033244,Pan_troglodytes
SAMN15033245,Pan_troglodytes
SAMN15033246,Pan_troglodytes
SAMN15033247,Pan_troglodytes
SAMN15033248,Pan_troglodytes
SAMN30216104,Pan_troglodytes
SAMEA4374770,Pan_troglodytes
SAMEA4374771,Pan_troglodytes
SAMEA4374772,Pan_troglodytes
SAMEA4374773,Pan_troglodytes
SAMEA4374774,Pan_troglodytes
SAMEA4374775,Pan_troglodytes
SAMEA4374776,Pan_troglodytes
SAMEA4374777,Pan_troglodytes
SAMEA4374778,Pan_troglodytes
SAMEA4374779,Pan_troglodytes
SAMEA4374780,Pan_troglodytes
SAMEA4374781,Pan_troglodytes
SAMEA4374782,Pan_troglodytes
SAMEA4374785,Pan_troglodytes
SAMN01920533,Pan_troglodytes
SAMN01920534,Pan_troglodytes
SAMN01920535,Pan_troglodytes
SAMN01920536,Pan_troglodytes
SAMEA1713551,Pan_troglodytes
SAMEA1713552,Pan_troglodytes
SAMEA1713553,Pan_troglodytes
SAMEA1713554,Pan_troglodytes
SAMEA1713556,Pan_troglodytes
SAMEA1713558,Pan_troglodytes
SAMEA2421540,Pan_troglodytes
SAMEA2421541,Pan_troglodytes
SAMEA2421542,Pan_troglodytes
SAMEA2421543,Pan_troglodytes
SAMEA2421544,Pan_troglodytes
SAMEA2421545,Pan_troglodytes
SAMEA2421546,Pan_troglodytes
SAMEA2421547,Pan_troglodytes
SAMEA2421548,Pan_troglodytes
SAMEA4374763,Pan_troglodytes
SAMEA4374764,Pan_troglodytes
SAMEA4374765,Pan_troglodytes
SAMEA4374766,Pan_troglodytes
SAMEA4374767,Pan_troglodytes
SAMEA4374768,Pan_troglodytes
SAMEA4374769,Pan_troglodytes
SAMEA5204226,Pan_troglodytes
SAMEA5204227,Pan_troglodytes
SAMEA5204228,Pan_troglodytes
SAMEA5204229,Pan_troglodytes
SAMN01920537,Pan_troglodytes
SAMN01920538,Pan_troglodytes
SAMN01920539,Pan_troglodytes
SAMN01920540,Pan_troglodytes
SAMN01920541,Pan_troglodytes
SAMEA2446071,Gorilla_gorilla
SAMEA2446072,Gorilla_gorilla
SAMN01920476,Gorilla_gorilla
SAMEA5204233,Gorilla_gorilla
SAMEA5204234,Gorilla_gorilla
SAMEA5204235,Gorilla_gorilla
SAMEA5204236,Gorilla_gorilla
SAMEA5204237,Gorilla_gorilla
SAMEA5204238,Gorilla_gorilla
SAMEA868692,Gorilla_gorilla
SAMN01920477,Gorilla_gorilla
SAMN01920478,Gorilla_gorilla
SAMN01920479,Gorilla_gorilla
SAMN01920480,Gorilla_gorilla
SAMN01920481,Gorilla_gorilla
SAMN01920482,Gorilla_gorilla
SAMN01920483,Gorilla_gorilla
SAMN01920484,Gorilla_gorilla
SAMN01920485,Gorilla_gorilla
SAMN01920486,Gorilla_gorilla
SAMN01920487,Gorilla_gorilla
SAMN01920488,Gorilla_gorilla
SAMN01920489,Gorilla_gorilla
SAMN01920490,Gorilla_gorilla
SAMN01920491,Gorilla_gorilla
SAMN01920492,Gorilla_gorilla
SAMN01920493,Gorilla_gorilla
SAMN01920494,Gorilla_gorilla
SAMN01920495,Gorilla_gorilla
SAMN01920496,Gorilla_gorilla
SAMN01920497,Gorilla_gorilla
SAMN01920498,Gorilla_gorilla
SAMN01920499,Gorilla_gorilla
SAMN01920500,Gorilla_gorilla
SAMN01920501,Gorilla_gorilla
SAMN01920502,Gorilla_gorilla
SAMN01920503,Gorilla_gorilla
SAMN04003007,Gorilla_gorilla
SAMN12714420,Gorilla_gorilla
SAMN12714421,Gorilla_gorilla
SAMN35877944,Gorilla_gorilla
SAMN35877945,Gorilla_gorilla
PD_0180,Gorilla_gorilla
PD_0181,Gorilla_gorilla
PD_0182,Gorilla_gorilla
PD_0183,Gorilla_gorilla
PD_0184,Gorilla_gorilla
PD_0185,Gorilla_gorilla
PD_0186,Gorilla_gorilla
PD_0187,Gorilla_gorilla
PD_0188,Gorilla_gorilla
PD_0189,Gorilla_gorilla
PD_0190,Gorilla_gorilla
PD_0191,Gorilla_gorilla
PD_0192,Gorilla_gorilla
PD_0193,Gorilla_gorilla
PD_0194,Gorilla_gorilla
PD_0195,Gorilla_gorilla
PD_0196,Gorilla_gorilla
PD_0197,Gorilla_gorilla
PD_0198,Gorilla_gorilla
PD_0260,Gorilla_gorilla
PD_0264,Gorilla_gorilla
SAMEA2697037,Gorilla_beringei
SAMEA2697038,Gorilla_beringei
SAMEA2697039,Gorilla_beringei
SAMEA2697040,Gorilla_beringei
SAMEA2697041,Gorilla_beringei
SAMEA2697042,Gorilla_beringei
SAMN01920473,Gorilla_beringei
SAMN01920474,Gorilla_beringei
SAMN01920475,Gorilla_beringei
PD_0179,Gorilla_beringei
SAMEA1692350,Gorilla_beringei
SAMEA1692351,Gorilla_beringei
SAMEA1692352,Gorilla_beringei
SAMEA1692353,Gorilla_beringei
SAMEA1692354,Gorilla_beringei
SAMEA1692355,Gorilla_beringei
SAMEA3939556,Gorilla_beringei
SAMEA3939557,Gorilla_beringei
SAMEA3939558,Gorilla_beringei
SAMEA3939560,Gorilla_beringei
SAMEA3939561,Gorilla_beringei
SAMEA3991715,Gorilla_beringei
SAMEA2697037,Gorilla_beringei_beringei
SAMEA2697038,Gorilla_beringei_beringei
SAMEA2697039,Gorilla_beringei_beringei
SAMEA3939556,Gorilla_beringei_beringei
SAMEA3939557,Gorilla_beringei_beringei
SAMEA3939558,Gorilla_beringei_beringei
SAMEA3939560,Gorilla_beringei_beringei
SAMEA3939561,Gorilla_beringei_beringei
SAMEA3991715,Gorilla_beringei_beringei
SAMEA2697040,Gorilla_beringei_graueri
SAMEA2697041,Gorilla_beringei_graueri
SAMEA2697042,Gorilla_beringei_graueri
SAMN01920473,Gorilla_beringei_graueri
SAMN01920474,Gorilla_beringei_graueri
SAMN01920475,Gorilla_beringei_graueri
SAMEA5204233,Gorilla_gorilla_gorilla
SAMEA5204234,Gorilla_gorilla_gorilla
SAMEA5204235,Gorilla_gorilla_gorilla
SAMEA5204236,Gorilla_gorilla_gorilla
SAMEA5204237,Gorilla_gorilla_gorilla
SAMEA5204238,Gorilla_gorilla_gorilla
SAMEA868692,Gorilla_gorilla_gorilla
SAMN01920477,Gorilla_gorilla_gorilla
SAMN01920478,Gorilla_gorilla_gorilla
SAMN01920479,Gorilla_gorilla_gorilla
SAMN01920480,Gorilla_gorilla_gorilla
SAMN01920481,Gorilla_gorilla_gorilla
SAMN01920482,Gorilla_gorilla_gorilla
SAMN01920483,Gorilla_gorilla_gorilla
SAMN01920484,Gorilla_gorilla_gorilla
SAMN01920485,Gorilla_gorilla_gorilla
SAMN01920486,Gorilla_gorilla_gorilla
SAMN01920487,Gorilla_gorilla_gorilla
SAMN01920488,Gorilla_gorilla_gorilla
SAMN01920489,Gorilla_gorilla_gorilla
SAMN01920490,Gorilla_gorilla_gorilla
SAMN01920491,Gorilla_gorilla_gorilla
SAMN01920492,Gorilla_gorilla_gorilla
SAMN01920493,Gorilla_gorilla_gorilla
SAMN01920494,Gorilla_gorilla_gorilla
SAMN01920495,Gorilla_gorilla_gorilla
SAMN01920496,Gorilla_gorilla_gorilla
SAMN01920497,Gorilla_gorilla_gorilla
SAMN01920498,Gorilla_gorilla_gorilla
SAMN01920499,Gorilla_gorilla_gorilla
SAMN01920500,Gorilla_gorilla_gorilla
SAMN01920501,Gorilla_gorilla_gorilla
SAMN01920502,Gorilla_gorilla_gorilla
SAMN01920503,Gorilla_gorilla_gorilla
SAMN04003007,Gorilla_gorilla_gorilla
SAMN12714420,Gorilla_gorilla_gorilla
SAMN12714421,Gorilla_gorilla_gorilla
SAMN35877944,Gorilla_gorilla_gorilla
SAMN35877945,Gorilla_gorilla_gorilla
SAMN01920476,Gorilla_gorilla_diehli
SAMN01920542,Pongo_abelii
SAMN01920543,Pongo_abelii
SAMN01920544,Pongo_abelii
SAMN01920545,Pongo_abelii
SAMN01920546,Pongo_abelii
SAMN06275555,Pongo_abelii
SAMN10521808,Pongo_abelii
SAMN13178754,Pongo_abelii
SAMEA104361533,Pongo_pygmaeus
SAMEA104361534,Pongo_pygmaeus
SAMEA104361535,Pongo_pygmaeus
SAMEA104361536,Pongo_pygmaeus
SAMEA104361537,Pongo_pygmaeus
SAMEA104361538,Pongo_pygmaeus
SAMEA104361539,Pongo_pygmaeus
SAMEA104361540,Pongo_pygmaeus
SAMEA104361541,Pongo_pygmaeus
SAMEA104361542,Pongo_pygmaeus
PD_0262,Pongo_pygmaeus
SAMN00007164,Pongo_pygmaeus
SAMN01920547,Pongo_pygmaeus
SAMN01920548,Pongo_pygmaeus
SAMN01920549,Pongo_pygmaeus
SAMN01920550,Pongo_pygmaeus
SAMN01920551,Pongo_pygmaeus
SAMN10521809,Pongo_pygmaeus
SAMN12714422,Pongo_pygmaeus
SAMN12714423,Pongo_pygmaeus
SAMD00215312,Macaca_cyclopis
SAMN12512033,Macaca_cyclopis
SAMN15061836,Macaca_cyclopis
SAMN19736174,Macaca_cyclopis
SAMD00215311,Macaca_fuscata_fuscata
SAMD00215311,Macaca_fuscata
SAMD00589946,Macaca_fuscata
SAMD00589947,Macaca_fuscata
SAMD00589948,Macaca_fuscata
SAMD00589949,Macaca_fuscata
SAMD00589950,Macaca_fuscata
SAMD00589951,Macaca_fuscata
SAMD00589952,Macaca_fuscata
SAMD00589953,Macaca_fuscata
SAMD00589954,Macaca_fuscata
SAMD00589955,Macaca_fuscata
SAMD00589956,Macaca_fuscata
SAMD00589957,Macaca_fuscata
SAMD00589958,Macaca_fuscata
SAMD00589959,Macaca_fuscata
SAMD00589960,Macaca_fuscata
SAMD00589961,Macaca_fuscata
SAMD00589962,Macaca_fuscata
SAMD00589963,Macaca_fuscata
SAMD00589964,Macaca_fuscata
SAMD00589965,Macaca_fuscata
SAMD00589966,Macaca_fuscata
SAMD00589967,Macaca_fuscata
SAMD00589968,Macaca_fuscata
SAMD00589969,Macaca_fuscata
SAMD00589970,Macaca_fuscata
SAMD00589971,Macaca_fuscata
SAMD00589972,Macaca_fuscata
SAMD00589973,Macaca_fuscata
SAMD00589974,Macaca_fuscata
SAMD00589975,Macaca_fuscata
